Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
paystub-1-1,2023-01-05,100101.0,Free Checking Bank OZK,Cash from paystub,1712.29,
paystub-1-2,2023-01-05,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.0,
paystub-1-3,2023-01-05,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.5,
paystub-1-4,2023-01-05,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
paystub-1-5,2023-01-05,100304.0,Health Savings Account Investment,HSA CONTR *,50.0,
paystub-1-6,2023-01-05,500201.0,Federal Income Tax,FEDERAL TAX,287.65,
paystub-1-7,2023-01-05,500202.0,Social Security Tax,SOCIAL SECURITY,164.96,
paystub-1-8,2023-01-05,500203.0,Medicare Tax,MEDICARE,38.58,
paystub-1-9,2023-01-05,500204.0,State Income Tax,ARKANSAS,102.0,
paystub-1-10,2023-01-05,500101.0,Medical Insurance,INS MED U *,35.0,
paystub-1-11,2023-01-05,500102.0,Dental Insurance,INS DEN U *,8.3,
paystub-1-12,2023-01-05,500103.0,Vision Insurance,INS VIS *,2.76,
paystub-1-13,2023-01-05,400101.0,Regular Earnings - Walmart Salary,REGULAR,,2746.16
paystub-1-14,2023-01-05,400103.0,Walmart Stock Match,CO STK,,10.5
paystub-1-15,2023-01-19,100101.0,Free Checking Bank OZK,Cash from paystub,1711.34,
paystub-1-16,2023-01-19,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.0,
paystub-1-17,2023-01-19,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.5,
paystub-1-18,2023-01-19,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
paystub-1-19,2023-01-19,100304.0,Health Savings Account Investment,HSA CONTR *,50.0,
paystub-1-20,2023-01-19,500201.0,Federal Income Tax,FEDERAL TAX,287.29,
paystub-1-21,2023-01-19,500202.0,Social Security Tax,SOCIAL SECURITY,164.85,
paystub-1-22,2023-01-19,500203.0,Medicare Tax,MEDICARE,38.55,
paystub-1-23,2023-01-19,500204.0,State Income Tax,ARKANSAS,101.8,
paystub-1-24,2023-01-19,500101.0,Medical Insurance,INS MED U *,36.67,
paystub-1-25,2023-01-19,500102.0,Dental Insurance,INS DEN U *,8.29,
paystub-1-26,2023-01-19,500103.0,Vision Insurance,INS VIS *,2.75,
paystub-1-27,2023-01-19,400101.0,Regular Earnings - Walmart Salary,REGULAR,,2746.16
paystub-1-28,2023-01-19,400103.0,Walmart Stock Match,CO STK,,10.5
